policy_name,category,legacy_path,cel_path,status,parity_notes,owner,tracking_link
check-supplemental-groups,psp-migration,sources/policies/psp-migration/check-supplemental-groups,sources/policies/psp-migration-cel/check-supplemental-groups,Both,,Azeez,
restrict-adding-capabilities,psp-migration,sources/policies/psp-migration/restrict-adding-capabilities,sources/policies/psp-migration-cel/restrict-adding-capabilities,Both,,Azeez,
restrict-runtimeClassName,psp-migration,sources/policies/psp-migration/restrict-runtimeClassName,sources/policies/psp-migration-cel/restrict-runtimeClassName,Both,,Azeez,
add-apparmor,psp-migration,sources/policies/psp-migration/add-apparmor, ,Legacy only,,Azeez,
add-capabilities,psp-migration,sources/policies/psp-migration/add-capabilities, ,Legacy only,,Azeez,
add-runtimeClassName,psp-migration,sources/policies/psp-migration/add-runtimeClassName, ,Legacy only,,Azeez,
block-tekton-task-runs,tekton,sources/policies/tekton/block-tekton-task-runs,sources/policies/tekton-cel/block-tekton-task-runs,Both,,Azeez,
require-tekton-bundle,tekton,sources/policies/tekton/require-tekton-bundle,sources/policies/tekton-cel/require-tekton-bundle,Both,,Azeez,
require-tekton-namespace-pipelinerun,tekton,sources/policies/tekton/require-tekton-namespace-pipelinerun, ,Legacy only,,Azeez,
require-tekton-securitycontext,tekton,sources/policies/tekton/require-tekton-securitycontext, ,Legacy only,,Azeez,
verify-tekton-pipeline-bundle-signatures,tekton,sources/policies/tekton/verify-tekton-pipeline-bundle-signatures, ,Legacy only,,Azeez,
verify-tekton-taskrun-signatures,tekton,sources/policies/tekton/verify-tekton-taskrun-signatures, ,Legacy only,,Azeez,
verify-tekton-taskrun-vuln-scan,tekton,sources/policies/tekton/verify-tekton-taskrun-vuln-scan, ,Legacy only,,Azeez,
disallow-default-tlsoptions,traefik,sources/policies/traefik/disallow-default-tlsoptions,sources/policies/traefik-cel/disallow-default-tlsoptions,Both,,Azeez,
block-velero-restore,velero,sources/policies/velero/block-velero-restore,sources/policies/velero-cel/block-velero-restore,Both,,Azeez,
validate-cron-schedule,velero,sources/policies/velero/validate-cron-schedule,sources/policies/velero-cel/validate-cron-schedule,Both,,Azeez,
backup-all-volumes,velero,sources/policies/velero/backup-all-volumes, ,Legacy only,,Azeez,
add-castai-removal-disabled,castai,sources/policies/castai/add-castai-removal-disabled, ,Legacy only,,Azeez,
limit-dnsnames,cert-manager,sources/policies/cert-manager/limit-dnsnames, ,Legacy only,,Azeez,
limit-duration,cert-manager,sources/policies/cert-manager/limit-duration, ,Legacy only,,Azeez,
restrict-issuer,cert-manager,sources/policies/cert-manager/restrict-issuer, ,Legacy only,,Azeez,
cleanup-bare-pods,cleanup,sources/policies/cleanup/cleanup-bare-pods, ,Legacy only,,Azeez,
cleanup-empty-replicasets,cleanup,sources/policies/cleanup/cleanup-empty-replicasets, ,Legacy only,,Azeez,
add-external-secret-prefix,external-secret-operator,sources/policies/external-secret-operator/add-external-secret-prefix, ,Legacy only,,Azeez,
add-karpenter-daemonset-priority-class,karpenter,sources/policies/karpenter/add-karpenter-daemonset-priority-class, ,Legacy only,,Azeez,
add-karpenter-donot-evict,karpenter,sources/policies/karpenter/add-karpenter-donot-evict, ,Legacy only,,Azeez,
add-karpenter-nodeselector,karpenter,sources/policies/karpenter/add-karpenter-nodeselector, ,Legacy only,,Azeez,
set-karpenter-non-cpu-limits,karpenter,sources/policies/karpenter/set-karpenter-non-cpu-limits, ,Legacy only,,Azeez,
config-syncer-secret-generation-from-rancher-capi,kubeops,sources/policies/kubeops/config-syncer-secret-generation-from-rancher-capi, ,Legacy only,,Azeez,
add-services,kubevirt,sources/policies/kubevirt/add-services, ,Legacy only,,Azeez,
enforce-instancetype,kubevirt,sources/policies/kubevirt/enforce-instancetype, ,Legacy only,,Azeez,
baseline,pod-security-vpol,sources/policies/pod-security-vpol/baseline, ,Legacy only,,Azeez,
restricted,pod-security-vpol,sources/policies/pod-security-vpol/restricted, ,Legacy only,,Azeez,
require-run-as-containeruser,windows-security,sources/policies/windows-security/require-run-as-containeruser, ,Legacy only,,Azeez,
